study_hours,attendance,previous_score,sleep_hours,stress_level,passed
10,93,57,4,8,0
2,62,60,6,2,1
5,96,81,5,7,0
1,40,79,7,8,0
9,93,33,7,6,0
8,94,21,4,5,0
4,90,89,8,9,0
5,79,36,5,3,0
3,54,47,9,10,0
10,60,85,6,4,1
9,86,54,7,9,0
6,48,24,7,6,0
8,92,84,9,8,1
6,48,59,5,7,0
0,49,95,8,2,0
0,91,75,7,3,1
8,96,55,5,1,1
10,92,64,9,9,0
8,65,42,4,7,0
3,80,66,8,1,1
8,74,50,6,3,0
2,91,30,7,4,0
6,64,29,5,4,0
5,65,86,4,5,0
7,50,33,6,3,0
10,77,99,5,3,1
8,41,93,5,1,1
4,46,29,6,7,0
0,57,95,4,10,0
2,66,20,9,1,0
9,73,24,4,2,0
7,66,39,8,4,0
10,56,27,7,4,0
5,82,62,6,5,0
7,98,95,9,2,1
8,83,20,6,4,0
3,98,76,6,1,1
0,90,83,4,2,1
0,93,47,7,1,0
9,63,56,8,10,0
3,64,66,5,10,0
6,46,95,5,4,0
1,91,56,6,4,0
2,45,68,7,7,0
0,92,63,9,10,0
4,63,75,4,9,0
0,72,47,7,9,0
7,88,98,7,5,1
0,68,25,4,10,0
10,82,80,6,1,1
0,61,39,7,1,0
1,65,97,5,6,0
1,67,21,4,2,0
5,89,92,9,8,1
6,60,56,8,9,0
4,88,39,6,4,1
0,46,45,4,5,0
0,56,48,8,8,0
2,59,20,8,3,0
1,80,54,9,5,0
4,88,89,7,3,1
9,59,78,9,10,0
5,93,88,7,3,1
6,61,52,7,3,0
3,67,70,4,7,0
6,100,97,4,7,0
10,79,31,6,7,0
7,88,39,7,10,0
10,46,72,8,8,1
0,40,62,5,5,0
5,71,69,6,5,1
7,52,48,4,4,0
4,69,76,9,7,0
3,62,58,6,10,0
1,90,75,6,4,1
5,98,62,6,2,1
5,95,69,6,4,0
10,58,42,5,8,0
0,71,63,9,9,0
8,69,57,9,3,0
10,68,42,9,7,0
5,88,64,7,9,0
2,84,71,8,4,0
3,68,99,9,10,0
10,69,69,6,3,1
3,55,27,6,5,0
2,79,20,9,1,0
9,58,27,9,3,0
2,57,48,6,8,0
2,40,24,7,8,0
3,53,66,4,4,0
6,90,53,4,2,1
3,86,84,9,8,0
8,89,74,5,8,0
0,41,62,9,10,0
7,93,93,9,4,1
6,67,49,4,3,0
1,88,36,6,2,0
7,89,45,9,9,0
0,69,27,6,1,0
10,77,66,6,7,0
8,90,95,5,5,1
8,43,91,6,8,1
1,40,65,4,4,0
6,47,87,7,7,0
9,68,52,7,5,0
2,94,20,8,5,0
6,78,38,9,9,0
9,42,50,4,9,0
8,71,99,6,9,1
3,49,33,7,6,0
0,49,72,4,6,0
1,58,67,7,5,0
0,85,88,6,9,0
4,73,81,7,10,0
4,99,85,9,8,0
10,72,83,9,7,1
6,62,89,8,7,1
8,94,82,8,6,1
8,67,92,7,5,0
2,71,52,4,4,0
2,89,60,9,3,1
2,46,67,4,3,0
3,68,32,4,6,0
7,47,92,7,4,0
5,40,96,4,6,0
7,96,50,9,3,1
0,94,94,6,4,0
7,42,87,8,9,1
3,63,23,6,5,0
10,62,38,4,7,0
0,98,89,6,10,0
7,100,32,9,2,1
3,47,42,9,5,0
5,93,94,4,9,0
7,96,20,7,3,0
3,86,73,6,9,1
2,76,90,7,6,0
8,42,34,7,4,0
2,90,84,5,7,0
8,72,95,4,8,1
1,67,90,8,6,0
1,86,34,9,5,0
1,47,40,9,6,0
5,73,38,4,5,0
2,74,79,8,8,0
8,71,52,9,1,1
3,63,68,4,7,0
0,53,54,9,10,0
3,71,63,7,10,0
0,95,30,6,2,0
4,85,91,6,9,1
3,82,97,9,1,1
7,55,93,5,10,0
7,43,85,8,6,0
6,91,65,8,9,0
2,76,28,8,1,0
0,93,22,7,4,0
0,60,45,8,4,0
10,53,91,6,9,0
2,70,67,7,5,0
5,94,85,4,5,0
6,87,89,8,6,1
5,57,47,8,1,0
5,46,45,4,1,0
5,49,44,8,9,0
2,46,31,4,3,0
5,72,24,7,4,0
7,62,67,6,1,0
10,60,56,4,9,0
10,58,98,5,8,1
1,87,63,4,2,0
4,100,34,8,8,0
0,58,62,7,7,0
0,75,67,9,6,0
4,68,89,7,1,0
2,99,65,9,7,0
3,57,62,4,10,0
2,41,40,6,7,0
0,40,42,5,9,0
0,86,99,7,1,0
4,44,66,8,2,0
5,59,34,9,9,0
2,50,44,8,9,0
8,81,55,6,6,1
4,41,94,9,6,0
7,42,70,7,4,0
0,62,34,4,4,0
4,94,87,8,5,0
2,51,40,6,3,0
0,59,32,7,1,0
3,44,38,7,1,0
4,76,53,7,7,0
6,77,97,7,1,1
0,69,87,9,1,0
2,48,71,7,3,0
1,73,46,8,10,0
8,92,48,6,4,0
9,83,47,9,4,0
5,74,54,7,2,0
9,91,27,5,1,0
2,97,35,5,3,0
7,61,55,6,4,0
7,83,49,4,3,0
1,63,37,4,8,0
5,56,21,9,10,0
6,49,68,9,1,1
1,69,96,9,2,0
10,95,23,4,7,0
9,98,94,5,4,0
1,85,26,4,8,0
9,62,93,8,3,1
0,71,58,7,6,0
7,56,32,9,9,0
0,89,50,5,1,0
8,90,90,6,1,1
10,56,82,6,8,0
5,53,75,7,3,0
6,48,61,5,5,0
9,79,80,4,1,1
6,41,61,4,5,0
9,84,75,8,6,0
2,64,55,8,8,0
1,78,87,4,3,1
8,48,26,6,3,0
7,93,73,9,10,0
9,61,20,6,9,0
6,82,63,8,4,1
8,85,64,7,4,1
3,43,66,4,7,0
3,65,32,8,2,1
0,97,41,8,8,0
7,68,40,9,6,0
2,84,28,4,3,0
6,73,45,9,9,0
1,62,28,4,5,0
1,76,34,9,8,0
6,50,29,6,7,0
5,45,61,7,8,0
2,57,91,7,7,1
8,60,43,4,3,0
9,81,99,5,2,1
5,75,68,8,7,0
9,80,45,8,3,0
9,77,56,4,3,0
5,73,87,9,2,1
0,56,69,5,4,0
3,76,43,6,8,0
9,64,38,9,1,0
5,77,79,9,1,1
5,97,58,4,5,0
10,51,93,4,5,1
4,62,37,8,1,0
0,92,38,4,6,0
7,81,55,4,1,0
4,61,93,4,5,0
4,60,74,8,9,0
6,66,88,6,5,0
3,96,66,6,6,0
5,70,68,4,8,0
3,45,52,8,1,0
2,66,40,6,2,0
6,79,100,9,9,0
7,73,41,6,3,0
3,51,67,6,6,0
1,84,56,8,5,0
9,96,34,9,2,1
2,92,54,8,7,0
0,46,90,4,4,0
7,49,51,7,1,1
2,84,30,6,4,0
9,56,29,7,6,0
6,65,92,8,7,1
9,60,97,8,7,1
4,67,96,8,7,0
9,97,76,7,3,1
4,85,44,8,6,0
6,41,21,4,8,0
8,99,83,8,4,1
4,93,54,5,8,1
0,82,26,7,2,0
9,40,37,5,10,0
9,90,86,8,9,0
0,92,61,4,9,0
1,75,58,6,8,0
5,90,60,9,10,0
8,65,94,9,10,1
7,68,43,8,1,1
4,60,79,4,2,0
0,50,65,7,6,0
6,79,38,5,10,0
4,50,87,5,5,0
5,75,61,5,9,0
6,88,51,7,5,0
2,98,58,9,2,1
9,78,55,4,10,0
2,79,55,7,4,0
4,74,22,5,9,0
5,93,92,8,1,1
8,73,27,6,1,1
4,94,89,7,7,1
0,86,60,7,3,0
3,63,87,4,10,0
4,93,32,4,2,0
9,61,68,7,9,0
9,44,79,5,3,1
4,95,21,6,2,0
6,72,79,4,8,1
3,97,24,5,10,0
0,75,63,8,6,0
4,86,46,4,6,0
6,59,51,5,10,0
9,58,40,5,7,0
9,74,27,6,7,0
5,91,91,6,6,1
4,82,69,8,4,1
3,56,86,5,9,0
1,98,63,9,6,0
3,84,77,5,4,1
9,82,22,6,3,0
9,73,89,9,4,1
2,48,21,4,3,0
9,65,63,4,2,0
0,41,21,7,5,0
7,92,100,6,2,1
4,48,54,7,6,0
3,48,49,9,3,0
7,79,27,6,6,0
6,56,41,8,10,0
1,40,63,5,9,0
0,64,77,8,1,1
10,100,55,9,6,1
3,82,88,6,9,1
7,79,96,9,4,1
1,81,50,5,2,0
2,64,66,4,4,0
0,78,74,4,1,0
0,74,99,9,3,1
2,42,81,7,10,0
10,89,49,6,9,0
4,76,74,6,10,0
2,83,35,4,5,0
0,83,31,8,6,0
0,90,36,5,3,0
7,69,35,8,5,0
9,77,31,8,8,0
10,73,27,9,6,0
1,51,22,4,4,0
2,58,35,4,2,0
1,76,49,4,9,0
2,83,42,9,1,0
6,98,24,7,1,0
0,98,84,8,4,1
9,88,49,9,7,0
7,100,40,6,1,1
9,56,89,5,9,0
9,49,41,7,4,1
9,96,91,6,3,1
1,94,51,8,1,0
2,88,52,4,10,0
8,86,35,8,4,0
6,51,95,9,9,0
3,55,57,5,10,0
9,63,33,9,6,0
4,58,55,7,6,0
1,47,42,7,1,0
10,70,85,5,10,1
7,60,21,6,2,0
3,56,92,6,6,1
8,62,84,7,2,1
4,76,94,7,3,1
8,93,86,4,4,1
3,55,71,6,5,0
9,45,81,5,9,0
4,47,42,6,4,0
8,64,45,4,9,0
7,57,87,9,10,0
2,64,74,7,3,1
0,51,25,7,8,0
2,54,54,4,1,0
3,98,41,5,9,0
1,65,62,7,9,0
0,80,34,8,10,0
6,84,79,7,2,1
7,65,31,8,4,0
6,86,68,4,8,0
4,71,61,4,7,0
0,49,57,7,1,1
6,55,64,6,5,0
6,46,54,8,7,0
8,56,49,5,4,0
2,62,49,7,1,0
8,65,97,5,9,1
0,60,25,7,5,0
0,61,86,6,2,0
3,97,99,6,8,1
8,46,26,6,2,0
5,53,71,9,3,0
10,54,33,6,10,0
2,92,92,4,1,1
0,46,34,4,2,0
3,48,40,9,7,0
8,90,54,8,10,0
2,87,85,5,2,1
8,47,21,7,6,0
6,89,54,7,3,1
3,98,97,9,4,1
2,62,39,4,8,0
9,68,29,7,3,0
4,57,44,4,10,0
4,70,85,8,6,1
2,69,44,5,1,0
8,91,73,8,7,1
3,78,52,9,8,0
10,74,55,6,8,0
4,57,33,6,3,0
3,98,84,6,10,0
4,81,99,8,1,0
6,78,73,7,9,0
8,56,71,5,6,1
6,53,22,6,9,0
4,70,60,9,7,0
9,63,25,9,1,0
9,74,44,6,1,1
6,83,32,6,6,0
9,99,27,5,5,0
4,84,40,6,9,0
2,73,87,5,2,0
6,42,44,9,8,0
10,76,98,6,5,1
10,82,87,8,2,1
1,79,64,8,10,0
8,65,79,9,6,1
9,94,31,5,10,0
9,62,51,8,8,0
0,83,32,5,4,0
5,78,50,8,2,0
6,54,97,8,5,0
7,95,39,5,2,0
9,88,37,7,2,1
8,43,79,8,6,0
1,68,82,6,10,0
10,61,25,9,9,0
9,64,51,7,4,0
1,52,62,5,6,0
4,57,21,7,7,0
4,72,79,4,6,0
5,55,42,4,8,0
2,84,50,8,4,0
7,81,24,8,1,0
0,83,53,6,7,0
5,41,29,9,3,0
3,94,21,7,6,0
0,74,30,4,2,0
6,81,69,8,9,0
8,73,50,9,1,1
3,69,75,7,6,0
3,98,98,8,6,1
5,94,92,8,5,1
2,52,28,4,5,0
5,52,40,4,1,0
6,57,92,8,10,0
10,71,47,5,5,0
9,71,81,8,2,0
9,74,26,9,7,0
2,98,99,8,3,1
6,78,35,6,4,0
2,85,23,6,3,0
1,91,23,6,3,0
9,68,59,5,4,0
3,88,36,5,5,0
7,68,71,8,1,0
8,92,71,6,4,1
6,83,55,5,8,0
0,96,57,4,10,0
2,55,69,8,7,0
8,95,82,9,9,1
0,83,82,7,5,1
8,86,81,8,10,1
7,96,26,7,4,0
0,49,46,6,8,0
5,69,33,7,9,0
4,64,90,6,7,0
5,78,24,4,7,0
9,59,74,7,5,0
4,44,21,8,4,0
5,40,81,6,10,0
4,69,40,8,1,0
10,88,98,5,10,1
4,42,40,6,10,0
3,84,29,7,7,0
2,53,77,6,1,0
2,95,58,8,1,1
3,69,24,4,5,0
8,89,84,6,9,0
1,43,32,7,6,0
8,57,72,5,3,0
0,76,64,9,3,0
0,64,51,4,7,0
4,87,55,5,6,0
5,40,100,6,9,0
5,92,79,8,6,0
2,85,30,8,5,0
6,54,82,7,10,0
8,48,40,8,7,0
10,54,71,4,1,1
9,88,74,8,7,1
7,96,45,7,3,0
5,63,87,9,9,0
7,43,53,6,6,0
4,51,71,6,9,0
7,98,71,8,5,1
9,97,48,5,7,0
3,76,57,6,4,0
9,100,61,9,7,1
7,76,40,8,1,0
9,82,61,7,7,0
1,99,32,9,8,0
4,45,83,8,5,0
8,78,36,9,2,0
3,95,28,6,5,0
10,85,60,7,6,0
5,63,20,8,2,0
0,50,21,4,6,0
8,52,79,7,6,0
0,73,67,4,1,0
4,64,48,9,1,1
3,46,29,5,10,0
2,91,77,7,3,1
5,43,79,9,10,0
1,98,40,4,10,0
2,47,47,6,3,0
4,59,94,6,4,0
8,68,53,5,2,1
1,93,27,7,9,0
9,92,78,7,10,0
7,90,91,7,7,1
1,84,68,9,7,0
10,85,98,5,6,1
4,49,36,7,3,0
6,82,79,9,6,1
7,73,64,6,8,0
0,96,88,4,8,0
5,65,51,9,9,0
0,80,63,6,1,0
1,88,84,6,1,0
0,97,27,4,3,0
10,42,96,6,3,1
4,95,91,5,10,1
9,45,62,4,8,0
8,44,20,6,10,0
5,44,70,8,1,0
10,93,43,9,2,1
10,86,43,6,2,0
0,62,36,5,3,0
0,88,24,7,6,0
1,48,39,6,1,0
8,74,40,7,2,0
2,59,77,8,1,1
0,97,50,6,5,0
4,88,30,4,7,0
6,100,71,7,8,0
5,98,34,8,10,0
0,81,26,4,1,0
4,74,47,4,7,0
4,89,70,4,5,0
5,57,77,4,10,0
2,56,24,6,1,0
4,63,24,9,3,0
6,42,27,6,7,0
4,71,83,6,10,0
4,74,29,8,1,0
4,77,57,8,7,0
9,52,100,9,5,1
9,95,27,8,1,0
2,100,44,5,1,0
0,86,92,9,1,1
4,64,85,8,9,0
8,48,98,9,3,1
0,43,69,6,5,0
2,53,86,6,10,0
3,76,68,9,9,1
0,73,55,5,6,0
0,50,87,5,9,0
7,80,97,9,8,0
1,95,60,8,8,1
7,42,81,7,1,1
6,98,29,5,9,0
9,67,40,4,6,0
9,68,55,6,9,0
1,48,31,9,3,0
5,42,21,4,3,0
5,64,32,9,6,0
2,73,72,6,9,0
10,51,51,6,7,0
1,81,35,5,3,0
0,48,51,5,3,0
5,54,51,4,2,0
4,79,30,9,9,0
10,64,29,6,3,0
8,44,34,4,5,0
0,50,36,7,9,0
6,98,59,4,8,0
4,73,37,8,2,0
4,63,74,4,3,1
1,99,92,8,2,1
10,54,44,8,8,0
2,77,78,8,6,0
6,47,97,7,6,0
5,98,41,4,9,0
1,44,49,4,8,0
5,87,63,7,4,0
1,65,51,6,4,0
1,57,70,5,9,0
1,45,65,4,1,0
10,76,40,5,2,0
2,99,51,9,2,0
1,87,58,9,6,0
3,52,31,7,4,0
8,67,66,9,10,0
5,44,37,9,3,0
0,52,40,6,3,0
7,56,32,6,3,0
6,89,40,6,6,0
9,79,27,9,8,0
2,84,65,7,7,0
0,71,26,8,4,0
4,68,42,8,4,0
3,90,94,5,10,0
9,97,41,8,2,0
7,42,41,8,1,1
0,95,48,6,9,0
9,79,32,6,2,0
0,73,21,9,8,0
3,79,48,5,9,0
7,66,98,4,4,0
4,52,71,5,8,0
1,84,46,5,9,0
5,72,69,7,10,0
4,45,98,9,10,0
1,63,42,7,5,0
10,58,63,5,7,0
10,55,96,5,10,1
10,79,41,5,4,1
2,67,62,8,1,1
8,72,56,7,3,0
6,98,80,5,5,1
6,98,75,6,3,1
10,87,22,9,7,0
5,80,82,9,9,0
7,52,38,6,6,0
3,82,42,9,10,0
7,84,48,8,1,1
3,64,49,8,7,0
7,92,58,4,3,0
8,81,44,4,5,0
2,75,27,4,10,0
2,66,77,9,4,0
10,77,35,8,10,0
1,99,91,8,5,1
9,46,20,8,5,0
2,44,24,6,6,0
2,82,22,8,10,0
4,84,84,6,10,0
4,97,23,4,6,0
1,96,83,4,8,0
9,90,29,9,8,0
5,70,40,4,9,0
4,62,65,9,8,0
5,81,46,5,2,0
0,49,85,5,10,0
4,71,60,7,1,0
8,82,32,9,10,0
9,92,28,7,2,1
1,69,55,7,2,0
0,78,77,5,3,0
9,70,73,9,10,0
10,57,31,5,7,0
8,75,100,7,2,1
9,41,97,9,1,1
8,53,33,7,6,0
8,52,53,8,9,0
5,68,72,9,3,0
7,51,39,9,6,0
10,78,94,7,3,1
0,41,35,8,1,0
9,71,89,6,5,0
3,52,75,5,10,0
0,85,77,7,4,0
7,66,23,9,7,0
0,88,23,5,6,0
2,80,39,5,10,0
3,56,29,5,7,0
7,79,43,6,5,0
5,70,45,4,4,0
9,73,56,7,7,0
6,99,73,4,7,0
7,63,40,4,6,0
1,84,93,4,8,0
9,74,57,5,4,0
10,87,65,8,10,1
7,45,23,5,5,0
2,58,79,5,4,0
6,69,76,9,1,1
2,46,64,9,8,1
6,49,39,4,1,0
10,80,36,5,5,0
1,71,90,4,6,0
9,73,23,9,6,0
5,67,33,8,5,0
2,99,22,7,3,0
2,54,99,4,5,0
8,69,77,8,8,0
6,76,74,7,2,0
4,68,23,6,6,0
9,61,43,4,9,0
6,43,53,4,8,0
8,59,49,6,8,0
0,71,38,6,8,0
6,75,50,4,7,0
5,89,79,6,8,1
9,43,79,5,6,0
8,66,38,7,2,0
0,56,68,7,2,0
3,51,82,7,8,0
8,61,41,5,1,1
3,56,43,6,6,0
9,49,95,8,6,1
2,93,49,6,4,0
8,40,77,4,10,0
1,61,50,9,3,0
3,65,83,7,3,0
5,95,38,6,1,1
1,98,67,8,3,1
7,57,64,4,4,1
7,89,74,5,5,0
0,53,74,5,3,0
2,86,37,8,6,0
9,68,82,4,5,0
8,51,66,7,3,0
4,75,94,6,6,1
5,98,76,4,6,0
3,74,64,5,8,0
9,91,52,8,2,1
1,100,36,8,1,0
10,51,89,6,4,0
7,46,23,8,7,0
10,68,39,8,10,0
5,50,66,4,3,0
4,72,34,7,3,0
8,45,89,6,5,0
0,86,66,4,5,0
4,54,97,7,10,0
5,71,94,4,3,1
4,90,28,9,9,0
5,50,35,4,4,0
5,97,88,8,3,1
6,62,80,7,2,0
3,65,29,6,10,0
10,73,69,6,9,0
7,85,22,7,4,0
6,73,96,8,3,1
8,68,89,5,7,0
6,43,100,4,8,0
2,56,70,8,2,0
2,74,38,9,7,0
7,52,61,7,5,0
4,80,54,4,5,0
3,78,65,6,3,0
7,54,45,5,5,0
5,94,88,9,2,0
1,68,83,6,4,0
3,68,56,7,6,0
10,50,68,4,1,1
3,91,40,7,10,0
5,71,93,4,4,0
5,41,83,8,6,1
0,86,24,5,9,0
7,53,89,8,2,1
5,59,23,8,7,0
2,61,58,7,6,0
8,50,54,5,2,0
1,66,20,4,8,0
10,42,43,4,7,0
7,56,76,9,5,1
9,83,89,6,5,1
2,95,60,9,7,0
4,67,73,9,9,0
5,68,65,4,9,0
9,60,79,7,9,1
5,86,79,8,6,1
3,55,76,8,10,0
2,76,50,8,6,0
3,98,43,5,3,0
0,59,55,4,1,0
3,45,49,7,7,0
0,58,43,5,4,0
0,96,49,6,1,0
9,44,26,7,8,0
5,42,54,9,6,0
4,98,74,7,6,1
10,40,33,7,2,0
3,97,29,8,1,0
10,99,99,7,2,1
2,77,35,9,4,0
0,54,73,9,2,0
5,73,96,4,1,1
1,100,89,7,7,0
7,74,63,8,8,0
9,88,92,7,6,1
4,64,64,6,4,0
6,63,75,6,6,0
9,51,76,8,3,1
1,57,40,4,8,0
7,54,87,4,10,0
1,83,69,9,2,0
3,55,52,9,5,0
0,66,26,5,1,0
4,47,89,8,6,1
8,99,34,7,2,0
0,85,51,8,4,0
8,64,94,5,6,1
10,56,39,9,10,0
7,68,34,8,8,0
5,92,67,8,8,1
6,47,90,9,6,1
2,54,40,5,4,0
0,66,61,9,8,0
4,85,45,4,8,0
1,89,33,7,10,0
4,91,76,9,1,1
7,46,56,5,4,0
10,42,77,6,4,0
8,68,40,4,7,0
1,83,88,6,7,0
2,92,22,9,8,0
2,63,56,4,5,0
0,99,68,7,7,0
7,97,38,9,8,0
5,42,31,7,9,0
7,59,80,8,3,0
10,85,60,6,3,1
8,54,52,4,4,0
4,64,69,7,5,0
2,69,87,5,10,0
4,53,90,7,1,1
4,46,52,5,7,0
4,56,100,9,9,0
2,83,43,4,8,0
10,59,80,7,5,1
9,75,80,7,4,1
3,48,47,4,7,0
8,77,77,7,5,1
9,87,62,5,7,0
8,96,60,7,1,1
1,99,58,6,1,0
7,61,68,9,10,1
7,93,36,8,3,0
